dropout,hidden_dim,num_layers,max_val_acc,final_val_acc,min_val_loss,final_val_loss
0.3,128,3,0.7945894636924538,0.7644992880873279,0.5364827279791687,1.406408373153571
0.5,64,2,0.7932605600379686,0.7684859990507831,0.5370091340758584,0.9345816294352214
0.5,128,2,0.7929757949691505,0.7667774086378738,0.5361500869194666,1.4462265448136764
0.3,128,1,0.7926910299003322,0.7641196013289037,0.5323631812225689,1.4127692392378142
0.7,128,1,0.7926910299003322,0.7641196013289037,0.5323631812225689,1.4127692392378142
0.5,128,1,0.7926910299003322,0.7641196013289037,0.5323631812225689,1.4127692392378142
0.3,128,2,0.7920265780730897,0.7668723303274798,0.5343377382466288,1.4141219973564148
0.5,128,3,0.7907925961082107,0.7619364024679639,0.5462501799518412,1.34342935591033
0.5,64,1,0.7906027527289986,0.7681063122923588,0.532562913497289,0.9014909101255012
0.3,64,1,0.7906027527289986,0.7681063122923588,0.532562913497289,0.9014909101255012
0.7,64,1,0.7906027527289986,0.7681063122923588,0.532562913497289,0.9014909101255012
0.3,64,2,0.7902230659705742,0.7676317038443284,0.5336780750390255,0.974867628921162
0.7,128,2,0.7899383009017561,0.7590887517797816,0.53950562720949,1.3791969924262075
0.7,64,2,0.78984337921215,0.7722828666350261,0.5473997862050027,0.905685249874086
0.7,128,3,0.7878500237304225,0.7648789748457523,0.5603846676421887,1.3077979892492295
0.3,64,3,0.7869008068343617,0.7715234931181775,0.5551270819974669,0.9263445462241318
0.5,64,3,0.7852871381110583,0.7684859990507831,0.5730249354333589,0.883033113226746
0.7,64,3,0.7844328429046037,0.7584242999525391,0.5952129839044629,0.9294391622145971
